"Bill_Dt","Vch_Nbr","Vch_Entries_Nbr","Ptf_Id","Accting_Peroid","Vch_Catg","Coa_Id","Ccy_Cd","Ex_Rate","Recnclt_Ind","Txn_Amt_Occy","Txn_Amt_Dccy","Db_Cr_Ind","Txn_Qty","Unit_Prc","Vch_Src_Cd","Vch_Memo","Occur_Dt","Bill_Tm","Accessory_Qty","Posting_Ind","Secu_Txn_Mode","Src_Ptf_Id","Assist_Accting_Cd","Vch_Assoc_Nbr","In_Memo_Nbr","Biz_Ref_Nbr","GMS_Vch_Nbr","Remarks","Reserve1","Reserve2","Bill_Usr_Id","Chk_Usr_Id","Upd_Usr_Id","Posting_Usr_Id","Cfm_Usr_Id","Bond_Cd","Exchange_Cd"
"20191010","590","2","Z00295","201910"," ","6011.03.01","CNY"," "," ","64.3600","64.3600","C","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][01_银行存款]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","591","1","Z00295","201910"," ","12040200001","CNY"," "," ","977.0800","977.0800","D","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BFJ002_上交所最低备付金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","591","2","Z00295","201910"," ","60110300002","CNY"," "," ","977.0800","977.0800","C","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BFJ002_上交所最低备付金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","592","1","Z00295","201910"," ","12040300007","CNY"," "," ","1.5900","1.5900","D","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BZJ011_深圳结算保证金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","592","2","Z00295","201910"," ","6011.05.BZJ011","CNY"," "," ","1.5900","1.5900","C","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BZJ011_深圳结算保证金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","593","1","Z00295","201910"," ","12040200002","CNY"," "," ","120.7200","120.7200","D","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BFJ012_深交所最低备付金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","593","2","Z00295","201910"," ","60110300002","CNY"," "," ","120.7200","120.7200","C","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BFJ012_深交所最低备付金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","594","1","Z00295","201910"," ","12040300006","CNY"," "," ","1.8400","1.8400","D","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BZJ001_上海结算保证金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","594","2","Z00295","201910"," ","6011.05.BZJ001","CNY"," "," ","1.8400","1.8400","C","0.000000","0E-16","CKJX","(2019-10-10)[计提存款利息][BZJ001_上海结算保证金]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
"20191010","598","2","Z00295","201910"," ","22070000001","CNY"," "," ","137.6900","137.6900","C","0.000000","0E-16","RCJT_YYSZ","(2019-10-10)[计提运营费用][托管费]"," ","2019-11-06 15:56:26"," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "
